"","Q3_B","Q4_B","Q5_B","Q6_B","Q7_B","Q8_C","Q9_C","Q10_D","Q11_D","Q12_D","Q13_D","Q14_D","Q15_D","Q16_D","Q17_E","Q18_E","Q19_E","Q20_E","Q21_E","Q22_E"
"98",1,0,0,2,0,0,2,0,0,0,1,0,1,1,2,0,1,1,1,1
"99",1,2,1,2,2,3,1,2,0,1,1,3,3,3,3,3,3,2,3,2
"100",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,1,2,0,0,1,2,3,3,3,3,1,2,0,3,2
"104",0,0,2,2,3,3,3,0,0,3,3,3,3,3,2,0,2,2,3,3
"105",0,2,2,0,0,0,0,1,0,2,2,2,2,2,2,1,2,2,2,2
"106",2,2,1,3,3,2,2,0,3,3,0,0,0,0,0,0,0,0,0,1
"107",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"108",2,0,2,2,2,2,1,0,0,1,1,0,0,0,3,0,0,0,1,0
"109",2,0,3,0,2,0,3,0,0,0,0,3,3,3,3,0,3,3,3,3
"110",0,0,0,0,0,1,0,1,0,0,0,0,2,1,2,2,2,0,0,2
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,2,2,3,3
"113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"114",0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,2
"115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",1,0,0,1,1,2,1,0,0,0,2,0,1,1,0,0,2,2,2,1
"118",3,3,3,3,3,3,3,0,0,3,3,2,0,0,2,0,3,0,0,0
"119",1,0,2,1,2,1,0,0,0,1,1,1,1,1,1,0,2,1,1,0
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,2
"121",2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,1,1,0,2
"122",1,1,1,0,2,0,0,0,0,0,2,2,1,0,2,1,3,2,1,2
"123",0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,2,2,1,2,1
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,2,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"126",3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,3,2,3
"127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0
"128",1,1,2,1,2,1,3,2,0,0,0,0,0,1,3,0,2,2,2,2
"129",3,3,3,3,3,3,3,0,3,3,3,3,3,2,3,2,3,2,2,3
"130",1,0,0,2,2,0,0,0,0,1,0,2,1,2,2,1,3,0,2,2
"131",1,0,1,2,2,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1
"132",3,2,3,2,2,2,3,0,1,2,2,0,2,0,3,0,0,2,2,1
"133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,2,0,3
"135",0,0,1,2,3,3,2,2,0,2,2,0,2,2,0,0,1,0,1,0
"136",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0
"137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,1,1
"139",0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,3,1,3,0
"140",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"142",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",1,0,2,2,2,2,3,3,2,3,2,3,3,3,2,1,2,2,2,0
"144",0,0,0,0,0,0,0,1,0,0,1,2,2,2,2,0,2,0,2,2
"145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"146",0,0,0,0,1,0,0,0,0,1,3,3,2,2,3,3,2,0,0,0
"147",0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,1,2,2,0,2
"148",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",1,2,2,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2
"150",0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,1,2
"151",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0
"152",2,1,2,3,3,3,3,0,0,2,1,1,2,0,2,2,1,2,0,2
"153",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
